Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v2.x,
BT1,BatteryHolder_TruPower_BH-331P_3xAA,1,Battery,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C4, C5, C6, C7, C8, C9",1206,36,10pF,
D1,SS34,1,SS34,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,36,WS2812B,
"H1, H2, H3, H4",MountingHole_2.5mm_Pad,4,MountingHole_Pad,
J1,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Joystick connector UP,
J2,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Joystick connector DOWN,
J3,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Joystick connector RIGHT,
J4,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Joystick connector LEFT,
J5,Altech_AK300_1x02_P5.00mm_45-Degree,1,Solenoid,
Q1,TO-220-3_Vertical,1,TIP120,
R1,1206,1,220,
