Designator,Mid X,Mid Y,Rotation,Layer
A1,202.32,-106.12,90.0,bottom
BT1,182.3675,-120.2925,0.0,top
C1,170.1875,-42.65,0.0,top
C10,200.1875,-52.65,0.0,top
C11,210.1875,-52.65,0.0,top
C12,220.1875,-52.65,0.0,top
C13,170.1875,-62.65,0.0,top
C14,180.1875,-62.65,0.0,top
C15,190.1875,-62.65,0.0,top
C16,200.1875,-62.65,0.0,top
C17,210.1875,-62.65,0.0,top
C18,220.1875,-62.65,0.0,top
C19,170.1875,-72.65,0.0,top
C2,180.1875,-42.65,0.0,top
C20,180.1875,-72.65,0.0,top
C21,190.1875,-72.65,0.0,top
C22,200.1875,-72.65,0.0,top
C23,210.1875,-72.65,0.0,top
C24,220.1875,-72.65,0.0,top
C25,170.1875,-82.65,0.0,top
C26,180.1875,-82.65,0.0,top
C27,190.1875,-82.65,0.0,top
C28,200.1875,-82.65,0.0,top
C29,210.1875,-82.65,0.0,top
C3,190.1875,-42.65,0.0,top
C30,220.1875,-82.65,0.0,top
C31,170.1875,-92.65,0.0,top
C32,180.1875,-92.65,0.0,top
C33,190.1875,-92.65,0.0,top
C34,200.1875,-92.65,0.0,top
C35,210.1875,-92.65,0.0,top
C36,220.1875,-92.65,0.0,top
C4,200.1875,-42.65,0.0,top
C5,210.1875,-42.65,0.0,top
C6,220.2875,-42.75,0.0,top
C7,170.1875,-52.65,0.0,top
C8,180.1875,-52.65,0.0,top
C9,190.1875,-52.65,0.0,top
D1,218.25,-129.05,180.0,bottom
D10,189.35,-48.45,180.0,top
D11,199.3875,-48.25,180.0,top
D12,209.35,-48.45,180.0,top
D13,219.35,-48.45,180.0,top
D14,169.35,-58.45,180.0,top
D15,179.35,-58.45,180.0,top
D16,189.35,-58.45,180.0,top
D17,199.35,-58.45,180.0,top
D18,209.35,-58.45,180.0,top
D19,219.35,-58.45,180.0,top
D2,169.35,-38.45,180.0,top
D20,169.35,-68.45,180.0,top
D21,179.35,-68.45,180.0,top
D22,189.35,-68.45,180.0,top
D23,199.35,-68.45,180.0,top
D24,209.35,-68.45,180.0,top
D25,219.35,-68.45,180.0,top
D26,169.35,-78.45,180.0,top
D27,179.35,-78.45,180.0,top
D28,189.35,-78.45,180.0,top
D29,199.35,-78.45,180.0,top
D3,179.35,-38.45,180.0,top
D30,209.35,-78.45,180.0,top
D31,219.35,-78.45,180.0,top
D32,169.35,-88.45,180.0,top
D33,179.35,-88.45,180.0,top
D34,189.35,-88.45,180.0,top
D35,199.35,-88.45,180.0,top
D36,209.35,-88.45,180.0,top
D37,219.35,-88.45,180.0,top
D4,189.35,-38.45,180.0,top
D5,199.35,-38.45,180.0,top
D6,209.35,-38.45,180.0,top
D7,219.35,-38.45,180.0,top
D8,169.35,-48.45,180.0,top
D9,179.35,-48.45,180.0,top
J1,181.3,-140.2,0.0,bottom
J2,172.1,-140.2,0.0,bottom
J3,181.3,-134.4,0.0,bottom
J4,172.1,-134.4,0.0,bottom
J5,218.95,-137.45,0.0,bottom
Q1,218.91,-124.85,0.0,bottom
R1,220.0,-118.1,180.0,bottom
